City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,port saint john's,-31.6229,29.5448,18.49,50,54,4.99,ZA,1689460109
84,kunming,25.0389,102.7183,14.96,67,0,2.0,CN,1689460284
85,buenavista del norte,28.3746,-16.861,24.75,70,5,8.52,ES,1689460284
86,alavus,62.5833,23.6167,11.99,84,71,1.81,FI,1689460075
87,ghadamis,30.1337,9.5007,31.55,11,0,4.49,LY,1689460284
88,keflavik,64.0049,-22.5624,10.95,81,0,11.32,IS,1689460109
89,patong,7.8961,98.2966,29.45,99,100,7.37,TH,1689460285
90,hawaiian paradise park,19.5933,-154.9731,27.24,73,100,2.06,US,1689460089
91,hithadhoo,-0.6,73.0833,27.66,76,1,2.02,MV,1689460053
92,santo antonio do ica,-3.1022,-67.9397,23.91,97,96,0.99,BR,1689460285
93,quellon,-43.1167,-73.6167,6.14,87,40,2.06,CL,1689460285
94,karimganj,24.8667,92.35,24.93,91,100,1.09,IN,1689460286
95,ust-nera,64.5667,143.2,18.45,78,78,3.45,RU,1689460057
96,bethel,41.3712,-73.414,28.62,77,0,3.6,US,1689459957
97,piedras negras,28.7,-100.5167,40.32,37,0,4.12,MX,1689460286
98,wanning,18.8003,110.3967,27.59,83,100,1.8,CN,1689459951
99,aleksandrovsk-sakhalinskiy,50.8975,142.1561,18.03,72,100,0.55,RU,1689460286
100,ilulissat,69.2167,-51.1,8.01,87,100,3.6,GL,1689460053
101,yanam,16.7333,82.2167,26.89,82,100,1.94,IN,1689460287
102,mount isa,-20.7333,139.5,14.87,67,20,2.06,AU,1689460287
103,san luis,-33.295,-66.3356,7.91,58,2,5.95,AR,1689460287
104,dara,15.3484,-15.4799,29.94,63,91,5.34,SN,1689460288
105,fale old settlement,-9.3852,-171.2468,28.37,71,33,4.12,TK,1689460061
106,sao benedito do rio preto,-3.3336,-43.5283,25.61,78,8,2.5,BR,1689460288
107,teguise,29.0605,-13.564,22.12,73,75,8.23,ES,1689460288
108,ambon,-3.6954,128.1814,26.04,95,40,2.06,ID,1689460096
109,villa gesell,-37.2639,-56.973,6.7,78,41,5.37,AR,1689459900
110,nar'yan-mar,67.6713,53.087,15.45,68,11,1.56,RU,1689460061
111,tsiroanomandidy,-18.7667,46.0333,11.35,70,0,0.58,MG,1689460289
112,anadyr,64.75,177.4833,16.28,72,0,5.0,RU,1689460049
113,labrador city,52.9463,-66.9114,20.95,60,100,1.03,CA,1689460289
114,mejit,10.2753,170.8646,28.02,77,41,6.76,MH,1689459943
115,kurmuk,10.55,34.2833,20.98,89,100,2.27,SD,1689460290
